"Player","Team","MXG","Goals","Loops","Degree"
"K. Demirbay","Hoffenheim",-0.757587446354364,2,163,1212
"K. Wimmer","Stoke City",-0.757865197873571,0,47,846
"D. Suárez","Getafe",-0.758617443979574,1,255,2438
"D. Delaney","Crystal Palace",-0.761647416795086,0,1,56
"J. Schlupp","Crystal Palace",-0.762068594291236,0,388,1671
"C. Lenglet","Sevilla",-0.762464439859741,3,227,2474
"V. Selimovic","Metz",-0.762800928900333,0,67,698
"Y. Cabaye","Crystal Palace",-0.764031395917641,0,342,2304
"E. Kwateng","Nantes",-0.765067210589564,0,6,72
"Javi Castellano","Las Palmas",-0.770688861005056,0,95,1397
"A. Kolarov","Roma",-0.77310542880582,2,394,3501
"S. Prcić","Rennes",-0.775634629759111,1,83,1209
"P. Retsos","Bayer Leverkusen",-0.776003832860056,1,199,1713
"E. Can","Liverpool",-0.777427000667558,3,290,2262
"K. Strootman","Roma",-0.779142570924023,1,202,2093
"Chema","Levante",-0.780358611426664,1,282,1346
"A. Carrillo","Watford",-0.78052623910412,1,500,1800
"Pedro Pereira","Genoa",-0.780633478994446,0,38,303
"O. Tannane","Las Palmas",-0.781873462009116,0,99,480
"T. Smith","Huddersfield Town",-0.786890694713406,0,142,1559
"A. Lafont","Toulouse",-0.786927840437556,0,39,1481
"A. Walongwa","Nantes",-0.790726116603651,0,0,33
"J. Cordoval","Troyes",-0.795066365175103,0,75,602
"M. Cranie","Huddersfield Town",-0.79534736131518,0,8,128
"C. Löwe","Huddersfield Town",-0.79601921732251,0,294,1496
"Pedro Mosquera","Deportivo La Coruña",-0.798101700486313,0,328,1459
"Miiko Albornoz","Hannover 96",-0.799026007489829,0,59,630
"Oier","Levante",-0.799894337584988,0,30,875
"S. Muntari","Deportivo La Coruña",-0.800163974134762,0,28,267
"T. Carroll","Swansea City",-0.800939031796815,0,388,2510
"J. Correa","Sevilla",-0.801334150881075,1,194,978
"J. Féret","Caen",-0.802902063086435,0,232,2424
"J. Brekalo","Stuttgart",-0.805617155631694,1,345,938
"P. Kadeřábek","Hoffenheim",-0.806307581467991,2,199,1678
"Juanfran","Deportivo La Coruña",-0.807443752733889,0,314,2652
"M. Höger","Köln",-0.808702760911274,0,175,1666
"S. Ciss","Angers",-0.809539797018147,0,14,95
"D. Avounou","Caen",-0.811719139306547,0,37,430
"Alex Sandro","Juventus",-0.814032124330652,4,330,2424
"K. Rausch","Köln",-0.814155639726209,0,60,768
"Fabinho","Monaco",-0.815585825671292,7,302,2816
"J. Pollersbeck","Hamburger SV",-0.816167118141038,0,19,606
"Rubén Pérez","Leganés",-0.818627193699172,0,224,2132
"R. Genevois","Caen",-0.819114304456434,0,355,1586
"N. Amiri","Hoffenheim",-0.819648870182391,2,246,1470
"Vicente Gómez","Las Palmas",-0.819989231471709,0,324,1553
"F. Hadergjonaj","Huddersfield Town",-0.820820683610577,0,332,1665
"M. Krohn-Dehli","Deportivo La Coruña",-0.823249242171528,0,45,494
"Rafinha","Internazionale",-0.823599699853503,2,363,1447
"P. Lasne","Montpellier",-0.82429547190327,1,293,2711
"Y. Aït Bennasser","Caen",-0.825795455619186,0,223,1730
"J. Speroni","Crystal Palace",-0.826306980448749,0,9,345
"E. Ponce","Lille",-0.826327628516992,2,989,2014
"J. Giraudon","Troyes",-0.829394280350471,0,110,1334
"Mario","Villarreal",-0.829441994290846,2,274,2688
"T. Knöll","Hamburger SV",-0.831155739705082,0,0,8
"M. Weiser","Hertha BSC",-0.831798705984511,1,270,1947
"S. Malone","Huddersfield Town",-0.832536880807311,0,365,1350
"C. Philipps","Metz",-0.833920498618454,0,77,654
"M. Lehmann","Köln",-0.834033002628303,0,52,1030
"N. Redmond","Southampton",-0.834595744289572,1,308,1739
"D. Diekmeier","Hamburger SV",-0.83526328323137,0,152,1302
"Keko","Málaga",-0.835419403887158,0,342,1139
"D. Latza","Mainz 05",-0.839560472029802,2,212,2061
"B. André","Rennes",-0.842556555300234,3,356,3037
"Ó. Duarte","Espanyol",-0.845044517628594,0,26,631
"E. Krafth","Bologna",-0.845297944023287,0,66,765
"G. Ferrari","Sampdoria",-0.845482741968453,2,163,2135
"C. Pulisic","Borussia Dortmund",-0.847429407406139,4,394,1802
"C. Dell'Orco","Sassuolo",-0.849574555141999,0,27,262
"K. Zohi","Strasbourg",-0.850076720893298,0,14,147
"J. Baumgartlinger","Bayer Leverkusen",-0.851952774690972,1,105,1311
"G. Peñalba","Las Palmas",-0.855029597154953,0,40,487
"M. Zetterer","Werder Bremen",-0.855044720770138,0,1,150
"I. Diomandé","Caen",-0.855521177315381,0,50,400
"E. Bailly","Manchester United",-0.857613423403791,1,52,644
"D. Geiger","Hoffenheim",-0.860883398286887,2,157,1331
"O. Hiljemark","Genoa",-0.86122371230249,0,76,931
"Diego Llorente","Real Sociedad",-0.863937210254107,3,222,2166
"G. Letizia","Benevento",-0.864365133187562,1,536,2251
"T. Kehrer","Schalke 04",-0.864906544475616,2,177,1941
"F. Uzoho","Deportivo La Coruña",-0.865006822152054,0,0,62
"M. Lowton","Burnley",-0.869073837659244,0,101,1655
"F. Balmont","Dijon",-0.87009872100316,1,638,1525
"A. Ayew","Swansea City",-0.870492994234041,0,109,634
"D. Upamecano","RB Leipzig",-0.872024662295416,3,214,2088
"M. Arambarri","Getafe",-0.874470198875542,1,167,1330
"M. Diamé","Newcastle United",-0.87580186836442,2,438,1886
"F. Fajr","Getafe",-0.877998815259389,1,169,1599
"J. Pavlenka","Werder Bremen",-0.878029999541582,0,31,1380
"P. Bardsley","Burnley",-0.88157303960952,0,74,885
"T. Pellenard","Bordeaux",-0.883711195621345,0,156,1233
"Juanpi","Málaga",-0.88392144139732,0,817,1706
"R. Bauer","Werder Bremen",-0.884229441114371,0,68,739
"Carlos Calderón","Getafe",-0.884660089726594,0,0,6
"J. Hart","West Ham United",-0.884903078483603,0,23,691
"T. Sippel","Borussia M'gladbach",-0.88591795798709,0,3,210
"Marcelo","Real Madrid",-0.887857678108276,2,242,2559
"M. Zaccagni","Hellas Verona",-0.888156285603714,0,216,544
"A. Bamba","Angers",-0.888707675343198,0,109,1183
"W. Hennessey","Crystal Palace",-0.888724028536899,0,35,950
"J. Nkololo","Caen",-0.890967492341133,0,75,399
"M. Michel","Angers",-0.891765337697052,0,6,209
"A. Florenzi","Roma",-0.89254760275594,1,445,2723
"Samu García","Málaga",-0.892687611006863,0,530,1034
"D. Lazović","Genoa",-0.893459555461504,0,124,929
"M. Friedl","Werder Bremen",-0.894166336085163,0,65,531
"C. Mathenia","Hamburger SV",-0.895262044871515,0,22,841
"T. Strobl","Borussia M'gladbach",-0.895774324030754,0,6,96
"Pol Lirola","Sassuolo",-0.896623682196491,0,197,1497
"A. Oukidja","Strasbourg",-0.89785071936069,0,9,580
"A. Djiku","Caen",-0.898108817473599,0,197,1956
"D. Alcibiade","Nantes",-0.898565990325096,0,8,142
"K. Manolas","Roma",-0.899586570319798,2,181,1879
"B. Martins Indi","Stoke City",-0.90001776098984,0,40,628
"M. Vecino","Internazionale",-0.900720320068103,3,252,2249
"F. Forster","Southampton",-0.901620764947438,0,6,605
"Bartra","Borussia Dortmund",-0.9021203538191,2,81,976
"K. Koulibaly","Napoli",-0.902582567606487,5,280,3628
"T. Asano","Stuttgart",-0.902750523824238,1,539,1233
"I. Success","Málaga",-0.904335927751731,0,301,683
"David Simón","Las Palmas",-0.905351362518559,0,293,1073
"M. Plattenhardt","Hertha BSC",-0.908394062418097,0,211,2320
"José Ángel","Eibar",-0.91066682713938,0,208,2139
"C. Sánchez","Espanyol",-0.910687824589445,0,73,838
"S. March","Brighton & Hove Albion",-0.911279175404957,1,494,1787
"Y. M'Vila","Saint-Étienne",-0.911641587156851,0,69,1553
"Iñigo Córdoba","Athletic Club",-0.91851250240245,1,459,1784
"David de Gea","Manchester United",-0.91957902564809,0,20,1202
"Bóveda","Deportivo La Coruña",-0.920732407431956,0,40,454
"V. Torosidis","Bologna",-0.922201780800947,0,44,591
"R. Walter","Troyes",-0.922331763440184,0,81,680
"T. Handwerker","Köln",-0.92404638749133,0,37,258
"F. Bellugou","Troyes",-0.926000718925366,0,142,1445
"S. Ambrosius","Hamburger SV",-0.926399576902782,0,3,46
"K. Djidji","Nantes",-0.926760273652803,0,167,1562
"M. Kelly","Crystal Palace",-0.927890478695076,0,42,628
"Samir","Udinese",-0.930471807077879,2,196,2087
"R. Durmisi","Real Betis",-0.931821956942031,2,126,1440
"T. Jantschke","Borussia M'gladbach",-0.933085220786438,0,43,583
"B. Santamaria","Angers",-0.933120222570437,0,208,1864
"Álex Mula","Málaga",-0.935546483918188,0,527,1129
"Neto","Valencia",-0.935624699401501,0,15,974
"Marc Roca","Espanyol",-0.936780918406271,0,29,239
"Y. Karamoh","Internazionale",-0.938040958844113,1,76,671
"L. Kübler","Freiburg",-0.938168686401923,0,245,1047
"G. Itter","Wolfsburg",-0.939526900887017,0,36,312
"D. Praet","Sampdoria",-0.943514741663193,1,327,2268
"K. Guédé","Freiburg",-0.945492395301585,0,3,26
"Víctor Ruíz","Villarreal",-0.945685789531353,2,125,1911
"B. Foster","West Bromwich Albion",-0.945979995667699,0,44,1310
"S. Perica","Udinese",-0.946029885347343,1,305,889
"Oriol Romeu","Southampton",-0.950115420540669,1,276,2753
"Filipe Luis","Atlético Madrid",-0.950861798403366,1,196,1654
"Momo","Las Palmas",-0.951342395428128,0,286,896
"G. Myhill","West Bromwich Albion",-0.951811265452648,0,1,23
"Hernán","Las Palmas",-0.952844911972079,0,438,899
"Fernando Pacheco","Deportivo Alavés",-0.953386157335785,0,28,1210
"N. Pallois","Nantes",-0.954440143563602,0,122,1285
"D. Lukebakio","Watford",-0.956060755603517,0,1,13
"Raúl García","Leganés",-0.957019906263099,0,323,1411
"Guilherme","Deportivo La Coruña",-0.957329673708045,0,237,2140
"O. Etebo","Las Palmas",-0.9588749158886,0,140,1019
"A. Toșca","Benevento",-0.95914118151336,0,132,1006
"Fabio González","Las Palmas",-0.959213746969226,0,7,65
"A. Abrashi","Freiburg",-0.95928651081249,0,80,596
"W. Anton","Hannover 96",-0.960570756974334,1,238,1960
"M. Ostrzolek","Hannover 96",-0.961474872389545,0,143,1789
"L. Cabrera","Crotone",-0.961768264814395,0,19,217
"A. Letellier","Angers",-0.961867107053081,0,10,375
"D. Brosinski","Mainz 05",-0.962129970494857,1,191,2060
"C. Hérelle","Troyes",-0.962822665688236,0,155,1865
"Ximo Navarro","Las Palmas",-0.962988817752375,0,214,2012
"D. Zagadou","Borussia Dortmund",-0.966193263553123,1,54,713
"Unai Núñez","Athletic Club",-0.966866920214102,1,262,2191
"Djené","Getafe",-0.967744143214304,1,285,1880
"M. Tisserand","Wolfsburg",-0.9686244715665,0,117,1062
"M. Biševac","Metz",-0.96892121680753,0,44,447
"S. Taïder","Bologna",-0.96941379501834,0,30,294
"T. Fosu-Mensah","Crystal Palace",-0.97123515873966,0,121,1118
"Raphaël Guerreiro","Borussia Dortmund",-0.972028639908331,1,65,571
"J. Hogg","Huddersfield Town",-0.972969217935315,0,170,2036
"Pedro Mendes","Montpellier",-0.973039176533348,1,182,2178
"M. Krohn-Dehli","Sevilla",-0.975084825959811,1,603,1356
"Cuco Martina","Everton",-0.976797751713661,0,153,1568
"E. Bourgaud","Amiens SC",-0.976974247477756,0,324,845
"Rubén Duarte","Deportivo Alavés",-0.979415916135849,0,146,1518
"É. Barreto","Sampdoria",-0.979446156251242,1,122,1619
"Y. Sommer","Borussia M'gladbach",-0.979458009148175,0,43,1457
"D. Calabria","Milan",-0.980195621280927,1,151,1596
"J. Pied","Southampton",-0.985123708884657,0,27,181
"E. Mor","Celta de Vigo",-0.986141483739402,1,365,925
"F. Depaoli","Chievo",-0.986664440917707,0,86,884
"V. Lazaro","Hertha BSC",-0.987069999770483,1,382,1538
"D. Maroh","Köln",-0.98735771635404,0,42,686
"L. Butelle","Angers",-0.988265164852351,0,14,629
"C. Quaner","Huddersfield Town",-0.989614991134317,0,191,1000
"G. Sakai","Hamburger SV",-0.989695754733702,0,766,2766
"Lucas Vázquez","Real Madrid",-0.991355234149978,4,417,1909
"L. Puyo","Angers",-0.991695922918439,0,24,279
"Aleix García","Girona",-0.992061845101034,1,261,1056
"I. Hayden","Newcastle United",-0.993263456669524,1,111,955
"F. Eboa Eboa","Guingamp",-0.994542895659038,1,97,1083
"Steven Fortès","Toulouse",-0.99502336523085,0,9,109
"Carles Gil","Deportivo La Coruña",-0.99722206180661,0,65,389
"F. Valverde","Deportivo La Coruña",-0.998905679287986,0,310,1260
