"Player","Team","MXG","Goals","Loops","Degree"
"E. Bardhi","Levante",5.18072456466075,9,383,1573
"S. Mané","Liverpool",5.17413953859227,10,309,1763
"E. Sala","Nantes",5.14319114036425,12,361,2124
"J. Augustin","RB Leipzig",5.12358155462448,9,679,1813
"Iago Falqué","Torino",5.12045046491721,12,391,2277
"J. Calleri","Las Palmas",5.07117587373887,9,394,1923
"W. Khazri","Rennes",5.06066325208121,9,281,1412
"N. Müller","Hamburger SV",5.02811346353315,1,202,347
"Nani","Lazio",5.01555651614331,3,81,483
"S. Mounié","Huddersfield Town",5.01328181682345,8,624,1838
"C. Nkunku","PSG",4.97679370303308,4,100,593
"J. Iličić","Atalanta",4.964152596742,11,381,2040
"E. Hazard","Chelsea",4.95863503674377,12,528,2411
"G. Kačar","Augsburg",4.92799737272981,1,18,149
"C. Théréau","Fiorentina",4.88954290471929,5,141,913
"I. Mbenza","Montpellier",4.88526707596066,8,458,1587
"Aduriz","Athletic Club",4.84112595729596,9,820,2108
"Munir","Deportivo Alavés",4.8226556461666,10,298,1649
"F. Thauvin","Olympique Marseille",4.80088640456097,22,521,2947
"Léo Baptistão","Espanyol",4.7834809534819,8,292,1618
"Portu","Girona",4.77499436365974,11,409,1833
"C. Akolo","Stuttgart",4.74413943124227,5,359,1010
"D. Kownacki","Sampdoria",4.74309246573398,5,698,1392
"A. Barnes","Burnley",4.73609127220027,9,247,1514
"F. Mollet","Metz",4.7190836568584,7,526,1753
"F. Bernardeschi","Juventus",4.70006489530169,4,140,716
"W. Zaha","Crystal Palace",4.69895445331156,9,572,1962
"J. Stanislas","AFC Bournemouth",4.68198219652004,5,126,891
"A. Paloschi","SPAL",4.6561615736,7,617,1632
"K. Babacar","Sassuolo",4.65366418326471,2,82,394
"João Pedro","Cagliari",4.64677681288094,5,179,1061
